"id"	"forme"	"label"
"actionpoetique"	"Action Poétique"	"forme préférée"
"aixenprovence"	"Aix en Provence"	"forme préférée"
"alamo"	"Alamo"	"forme alternative"
"alamo"	"Stage Alamo"	"forme préférée"
"alamo"	"ALAMO"	"forme alternative"
"amiensstage"	"Amiens"	"forme alternative"
"amiensstage"	"Stage à Amiens"	"forme préférée"
"amiensstage"	"Amiens : stage"	"forme alternative"
"ande"	"ANDE"	"forme alternative"
"ande"	"Andé"	"forme alternative"
"ande"	"Andé au printemps"	"forme alternative"
"ande"	"Moulin d’Andé"	"forme préférée"
"apostrophes"	"Apostrophes"	"forme préférée"
"arsenal"	"Arsenal"	"forme préférée"
"ateliersdecrituredecerisy"	"Ateliers"	"forme alternative"
"ateliersdecrituredecerisy"	"Atelier d'écriture à Cerisy 83"	"forme alternative"
"ateliersdecrituredecerisy"	"Ateliers d'écriture de Cerisy"	"forme préférée"
"avignon"	"Avignon"	"forme préférée"
"banquetducnac"	"Banquet du CNAC"	"forme préférée"
"beaubourg"	"Beaubourg 80"	"forme alternative"
"beaubourg"	"Beaubourg"	"forme préférée"
"biennaledepoesie"	"biennale de poésie"	"forme alternative"
"biennaledepoesie"	"Biennale de poésie"	"forme préférée"
"biennaledevenise"	"Biennale de Venise"	"forme préférée"
"bourges"	"Bourges"	"forme préférée"
"bruxelles"	"Bruxelles : Exposition"	"forme alternative"
"bruxelles"	"Bruxelles"	"forme préférée"
"cambridge"	"Cambridge (Festival international de poésie)"	"forme préférée"
"cambridge"	"Cambridge"	"forme alternative"
"celebrationnanterrienne"	"Célébration Nanterrienne"	"forme préférée"
"cerisy"	"Cerisy"	"forme préférée"
"colloque"	"Colloque"	"forme alternative"
"colloque"	"Colloque"	"forme préférée"
"colloqueadavos"	"Colloque à Davos"	"forme préférée"
"colloqueadavos"	"Davos"	"forme alternative"
"colloquealbi"	"Albi déc. 82"	"forme alternative"
"colloquealbi"	"Colloque d'Albi sur l'avenir de la culture"	"forme préférée"
"colloqueargot"	"Colloque argot"	"forme alternative"
"colloqueargot"	"Colloque sur l’argot"	"forme préférée"
"colloquedebesancon"	"Colloque de Besançon"	"forme préférée"
"colloquedecerisy"	"Colloque de Cerisy"	"forme préférée"
"colloquedelinguistiqueappliquee"	"Colloque de linguistique appliquée"	"forme préférée"
"colloqueic"	"Colloque IC"	"forme alternative"
"colloqueic"	"Colloque Italo Calvino"	"forme préférée"
"colloqueoulipo"	"Colloque Oulipo"	"forme préférée"
"colloqueperec"	"colloque Perec"	"forme alternative"
"colloqueperec"	"Colloque Perec Cerisy"	"forme alternative"
"colloqueperec"	"Colloque Perec"	"forme préférée"
"colloqueplagiat"	"Colloque sur le plagiat (Ottawa)"	"forme préférée"
"colloqueplagiat"	"Colloque sur le plagiat"	"forme alternative"
"colloqueplagiat"	"Ottawa"	"forme alternative"
"colloquerq"	"Colloque Queneau"	"forme alternative"
"colloquerq"	"Colloque Queneau"	"forme alternative"
"colloquerq"	"Colloque Raymond Queneau"	"forme préférée"
"colloquerrousselanice"	"Colloque R. Roussel à Nice"	"forme préférée"
"colloquescienceetlitterature"	"Colloque Science et Littérature"	"forme préférée"
"colloquesurlacontrainte"	"Colloque sur la contrainte"	"forme préférée"
"colloquesurlapermutation"	"Colloque sur la permutation"	"forme préférée"
"columbia"	"Columbia "	"forme alternative"
"columbia"	"Conférence-débat à la Columbia University"	"forme préférée"
"communication"	"Communication"	"forme alternative"
"Communication"	"Communications"	"forme alternative"
"Communication"	"Communication"	"forme préférée"
"concoursdenewstatesman"	"Concours de New Statesman"	"forme préférée"
"concoursdesartistes"	"Concours des Artistes"	"forme préférée"
"conference"	"Conférence de"	"forme alternative"
"conference"	"Conférence"	"forme préférée"
"conferencealens"	"Conférence à l'ENS"	"forme préférée"
"conferencealinstituthpoincare"	"Conférence à l'Institut H. Poincaré"	"forme préférée"
"conferenceaorsaysurlitteratureetmathematiques"	"Conférence à Orsay sur Littérature et mathématiques"	"forme préférée"
"conferenceasaintetienne"	"Conférence à Saint Etienne"	"forme préférée"
"conferencede"	"Conférence de"	"forme alternative"
"conferencedevian"	"Conférence d'Evian"	"forme préférée"
"conferenceoulipo"	"Conférence Oulipo"	"forme préférée"
"conferencesurlinguistiquestructurale"	"Conférence sur linguistique structurale"	"forme préférée"
"conferencesurloulipoalinstitutpoincare"	"Conférence sur l'Oulipo à l'Institut Poincaré"	"forme préférée"
"congres"	"CONGRÈS"	"forme alternative"
"congres"	"Congrès type Orsay"	"forme alternative"
"congres"	"en Congrès à Boulogne"	"forme alternative"
"congres"	"IIIè Congrès"	"forme alternative"
"congres"	"Congrès"	"forme préférée"
"congresdelunioninternationaledesmathematiciens"	"Congrès de l'Union Internationale des Mathématiciens"	"forme préférée"
"congresdenovembre"	"Congrès de novembre"	"forme préférée"
"congresdesanfrancisco1974"	"Congrès de San Francisco 1974"	"forme préférée"
"congresdesprofesseursdefrancais"	"Congrès des professeurs de français"	"forme préférée"
"congresdu2janvier"	"Congrès du 2 janvier 1967"	"forme préférée"
"congresdu2janvier"	"Congrès du 2 janvier"	"forme alternative"
"congresdu6emecentenaire"	"Congrès de notre VIème Centenaire"	"forme alternative"
"congresdu6emecentenaire"	"Congrès du 6ème Centenaire"	"forme préférée"
"congresdumillenaire"	"CONGRES DU MILLENAIRE"	"forme alternative"
"congresdumoulindandre"	"Congrès d'Andé"	"forme alternative"
"congresdumoulindandre"	"Congrès/Andé"	"forme alternative"
"congresdumoulindandre"	"Congrès du Moulin d'Andé"	"forme préférée"
"congresdumoulindandre"	"Congrès du Moulin d'André"	"forme alternative"
"congresoulipo"	"Congrès de notre quatorzième centenaire"	"forme alternative"
"congresoulipo"	"Congrès du mi-millénaire"	"forme alternative"
"congresoulipo"	"Congrès du Millénaire"	"forme alternative"
"congresoulipo"	"Congres du premier millenaire"	"forme alternative"
