"id"	"forme"	"label"
"aappfidassociationamispaspresetfutdisodoreducasse"	"AAPPFID Association Amis Pas Près et Fut d’Isodore Ducasse"	"forme alternative"
"aappfidassociationamispaspresetfutdisodoreducasse"	"Association des Amis d’Isidore Ducasse (AAPPFID)"	"forme préférée"
"acadefraise"	"Acadéfraise"	"forme préférée"
"academicpress"	"Academic Press"	"forme préférée"
"academiedelagado"	"Académie de Lagado"	"forme préférée"
"academiedemuseologieevocatoire"	"Académie de muséologie évocatoire"	"forme préférée"
"academiedesinscriptionsetbelleslettres"	"Académie des Inscriptions et Belles Lettres"	"forme préférée"
"academiefrancaise"	"Académie Française"	"forme préférée"
"academiefrancaise"	"Académie française"	"forme alternative"
"collegedepataphysique"	"Accommission des Compositions du Collège de Pataphysique"	"forme alternative"
"acrote"	"Acrote"	"forme préférée"
"actionpoetique"	"Action poétique"	"forme préférée"
"actionpoetique"	"Action Poétique"	"forme alternative"
"adac"	"ADAC (atelier d’Alamo)"	"forme préférée"
"adac"	"ADAC"	"forme alternative"
"adelfi"	"Adelphi Editions "	"forme préférée"
"adelfi"	"Adelfi"	"forme alternative"
"adi"	"Adi"	"forme alternative"
"adi"	"Agence de l’Informatique (ADI)"	"forme préférée"
"adrenaline"	"Adrénaline"	"forme préférée"
"agpassociationamisdegperec"	"Association des Amis de Georges Perec (AGP)"	"forme préférée"
"agpassociationamisdegperec"	"AGP (association Amis de G. Perec"	"forme alternative"
"alamo"	"Alamo (Atelier de littérature assistée par la mathématique et les ordinateurs)"	"forme préférée"
"alamo"	"Alamo"	"forme alternative"
"alamo"	"ALAMO"	"forme alternative"
"americancenter"	"American Center"	"forme préférée"
"agpassociationamisdegperec"	"Amis de Georges Perec"	"forme alternative"
"agpassociationamisdegperec"	"Amis de GP"	"forme alternative"
"amisdevalentinbru"	"Amis de Valentin Brû"	"forme préférée"
"amisdevalentinbru"	"Amis de Valentin Bru"	"forme alternative"
"agpassociationamisdegperec"	"Amis Georges Perec"	"forme alternative"
"apiaw"	"Association pour le progrès intellectuel et artistique en Wallonie (APIAW)"	"forme préférée"
"apiaw"	"APIAW"	"forme alternative"
"archivesnationales"	"Archives Nationales"	"forme préférée"
"arsenal"	"Arsenal"	"forme préférée"
"arta"	"Atelier de Recherches Techniques Avancées (ARTA)"	"forme préférée"
"arta"	"ARTA"	"forme alternative"
"artetmathematiques"	"Art et Mathématiques"	"forme préférée"
"associationculturelleitalofrancaise"	"Association culturelle italo-française"	"forme préférée"
"associationdesprofesseursdefrancaisdulycee"	"Association des Professeurs de Français du Lycée"	"forme préférée"
"agpassociationamisdegperec"	"Association GP"	"forme alternative"
"agpassociationamisdegperec"	"association GP"	"forme alternative"
"alamo"	"Atelier de littérature assistée par mathématiques et ordinateur"	"forme alternative"
"alamo"	"Atelier littérature assistée par ordinateur"	"forme alternative"
"autrementdit"	"Autrement dit"	"forme préférée"
"autrementdit"	"Autrement Dit"	"forme alternative"
"bbc"	"BBC"	"forme préférée"
"centrepompidou"	"Beaubourg"	"forme alternative"
"belfond"	"Belfond"	"forme préférée"
"belin"	"Belin"	"forme préférée"
"bibliothequejacquesdoucet"	"Bibliothèque Doucet"	"forme alternative"
"bibliothequejacquesdoucet"	"Bibliothèque littéraire Jacques Doucet"	"forme préférée"
"bibliothequejacquesdoucet"	"bibliothèque Jacques Doucet"	"forme alternative"
"bibliothequejacquesdoucet"	"Bibliothèque Jacques Doucet"	"forme alternative"
"bibliothequemunicipale"	"Bibliothèque municipale"	"forme préférée"
"bibliothequemunicipale"	"BM"	"forme alternative"
"bibliothequenationale"	"Bibliothèque Nationale (BN)"	"forme préférée"
"bibliothequenationale"	"Bibliothèque Nationale"	"forme alternative"
"bibliothequepubliquedelimons"	"Bibliothèque publique de Limons"	"forme préférée"
"bibliothequesaintegenevieve"	"Bibliothèque Sainte Geneviève"	"forme préférée"
"bibliothequesderouen"	"Bibliothèques de Rouen"	"forme préférée"
"biennaledeparis"	"Biennale de Paris"	"forme préférée"
"bibliothequenationale"	"BN"	"forme alternative"
"bibliothequenationale"	"B.N."	"forme alternative"
"bollatiboringhieri"	"Bollati Boringhieri"	"forme préférée"
"bollatiboringhieri"	"Bollinghieri"	"forme alternative"
"bordas"	"Bordas"	"forme préférée"
"bourgois"	"Bourgois"	"forme préférée"
"bull"	"Bull"	"forme préférée"
"cabinetdeduhamel"	"Cabinet de Duhamel"	"forme préférée"
"caissedepargne"	"Caisse d’Epargne"	"forme préférée"
"caissedeslettres"	"Caisse des Lettres"	"forme préférée"
"calmannlevy"	"Calmann-Levy"	"forme préférée"
"calmannlevy"	"Calmann-Lévy"	"forme alternative"
"editionscape"	"Cape"	"forme alternative"
