"id"	"forme"	"label"
"rq"	"‘mond ‘neau"	"forme alternative"
"rosentiehl"	"A Rosentiehl"	"forme alternative"
"amschimdt"	"A-M. Schimdt"	"forme alternative"
"allais"	"A. Allais"	"forme alternative"
"ab"	"A. Blavier"	"forme alternative"
"abonner"	"A. Bonner"	"forme alternative"
"mlatis"	"A. de Latis"	"forme alternative"
"ag"	"A. Garréta"	"forme alternative"
"wycliffeahill"	"A. Hill, Wycliffe"	"forme préférée"
"ajary"	"A. Jary"	"forme alternative"
"alenteri"	"A. LENTERI"	"forme alternative"
"alenteri"	"A. Lenteri"	"forme alternative"
"ameillet"	"A. Meillet"	"forme alternative"
"queneau"	"A. Queneau"	"forme alternative"
"aroger"	"A. Roger"	"forme alternative"
"rosentiehl"	"A. Rosenstiehl"	"forme alternative"
"atchungui"	"A. Tchungui"	"forme alternative"
"aweil"	"A. Weil"	"forme alternative"
"ams"	"A.-M. Schmidt"	"forme alternative"
"ag"	"A.G."	"forme alternative"
"abrahammoles"	"A.M"	"forme alternative"
"amchristin"	"A.M. Christin"	"forme alternative"
"ams"	"A.M.S."	"forme alternative"
"ab"	"AB"	"forme alternative"
"ab"	"ab"	"forme alternative"
"abpoulsen"	"AB POULSEN"	"forme alternative"
"walterabish"	"Abish, Walter"	"forme préférée"
"ab"	"ablavier"	"forme alternative"
"abrahammoles"	"Abraham Moles"	"forme alternative"
"abrahammoles"	"abrahammoles"	"forme alternative"
"adalgur"	"Adalgur"	"forme préférée"
"adalgur"	"ADALGUR"	"forme alternative"
"pauladam"	"Adam, Paul"	"forme préférée"
"adelaiderusso"	"Adelaide Russo"	"forme alternative"
"marieadele"	"Adèle, Marie"	"forme préférée"
"ag"	"AG"	"forme alternative"
"ag"	"ag"	"forme alternative"
"agamemnon"	"Agamemnon"	"forme préférée"
"ag"	"agarreta"	"forme alternative"
"agathachristie"	"Agatha Christie"	"forme alternative"
"agnesrosenstiehl"	"Agnès"	"forme alternative"
"agnesflorkin"	"Agnès Florkin"	"forme alternative"
"agnesrosenstiehl"	"Agnès Rosenstiehl"	"forme alternative"
"agnessola"	"Agnès Sola"	"forme alternative"
"agnesvaquin"	"Agnès Vaquin"	"forme alternative"
"aimemaeght"	"Aimé Maeght"	"forme alternative"
"alain"	"Alain"	"forme préférée"
"alainborer"	"Alain Borer"	"forme alternative"
"alaincalame"	"Alain Calame"	"forme alternative"
"alainchevrier"	"Alain Chevrier"	"forme alternative"
"alaincouvrier"	"Alain Couvrier"	"forme alternative"
"alaindechambure"	"Alain de Chambure"	"forme alternative"
"alainjacquet"	"Alain Jacquet"	"forme alternative"
"alainlance"	"Alain Lance"	"forme alternative"
"alainnadaud"	"Alain Nadaud"	"forme alternative"
"alainrey"	"Alain REY"	"forme alternative"
"alainroger"	"Alain Roger"	"forme alternative"
"alainviala"	"Alain Viala"	"forme alternative"
"alanausen"	"Alan Ausen"	"forme alternative"
"alanweinstein"	"Alan Weinstein"	"forme alternative"
"albertcamus"	"Albert Camus"	"forme alternative"
"ams"	"Albert-Marie S"	"forme alternative"
"ams"	"Albert-Marie Schmidt"	"forme alternative"
"ams"	"albertmaries"	"forme alternative"
"ams"	"albertmarieschmidt"	"forme alternative"
"alcidamas"	"Alcidamas"	"forme préférée"
"aleman"	"Aleman"	"forme préférée"
"bouvier"	"Alex. Bouvier"	"forme alternative"
"alexandredumasiate"	"Alexandre Dumasiate"	"forme alternative"
"alexandreflan"	"Alexandre Flan"	"forme alternative"
"alexandregreffoir"	"Alexandre Greffoir"	"forme alternative"
"bouvier"	"Alexis Bouvier"	"forme alternative"
"alice"	"Alice"	"forme préférée"
"tedalice"	"Alice, Ted"	"forme préférée"
"aline"	"Aline"	"forme préférée"
"alinegagnaire"	"Aline Gagnaire"	"forme alternative"
"alineroussel"	"Aline Roussel"	"forme alternative"
"allais"	"Allais"	"forme alternative"
"allais"	"Allais, A."	"forme alternative"
"allais"	"Allais, Alphonse"	"forme préférée"
"almandi"	"Almansi, Guido"	"forme préférée"
"aloysiusbertrand"	"Aloysius Bertrand"	"forme alternative"
"alphonseallais"	"Alphonse Allais"	"forme alternative"
"alphonsekarr"	"Alphonse Karr"	"forme alternative"
"ic"	"alvino"	"forme alternative"
"abrahammoles"	"am"	"forme alternative"
"amedeepommier"	"Amédée Pommier"	"forme alternative"
"amiel"	"Amiel"	"forme préférée"
"emmanuelamiot"	"Amiot, Emmanuel"	"forme préférée"
"amiralrigueze"	"amiral Riguèze"	"forme alternative"
"yvetteamis"	"Amis, Yvette"	"forme préférée"
"amortowles"	"Amor Towles"	"forme alternative"
"ampere"	"Ampère"	"forme préférée"
"ams"	"AMS"	"forme alternative"
"ams"	"ams"	"forme alternative"
"ams"	"amschmidt"	"forme alternative"
"anaarnaudblieberge"	"Ana Arnaud BlieBerge"	"forme alternative"
"anaid"	"Anaïd"	"forme préférée"
"ande"	"Andé"	"forme préférée"
"ab"	"André"	"forme alternative"
"ab"	"André B"	"forme alternative"
"bergens"	"André Bergens"	"forme alternative"
"ab"	"André Blavier"	"forme alternative"
"andrebreton"	"André Breton"	"forme alternative"
"andredalmas"	"André Dalmas"	"forme alternative"
"andredubouchet"	"André du Bouchet"	"forme alternative"
"andrefrenaud"	"André Frénaud"	"forme alternative"
"andrelenteri"	"André Lenteri"	"forme alternative"
"andremage"	"André Mage"	"forme alternative"
"andremalraux"	"André Malraux"	"forme alternative"
"andremathieu"	"André Mathieu"	"forme alternative"
"andrepolavier"	"André Polavier"	"forme alternative"
"ab"	"andreb"	"forme alternative"
"ab"	"andreblavier"	"forme alternative"
"bergens"	"Andrée Bergens"	"forme alternative"
"andreeverges"	"Andrée Vergès"	"forme alternative"
"pierreange"	"Angé, Pierre"	"forme préférée"
"angemy"	"Angémy"	"forme préférée"
"anglares"	"Anglarès"	"forme préférée"
"annabelpatterson"	"Annabel Patterson"	"forme alternative"
"ag"	"Anne G"	"forme alternative"
"ag"	"Anne Garréta"	"forme alternative"
"anneportugal"	"Anne Portugal"	"forme alternative"
"anneroche"	"Anne Roche"	"forme alternative"
"annemariechristin"	"Anne-Marie Christin"	"forme alternative"
"annemarierocheblavespente"	"Anne-Marie Rocheblave-Spente"	"forme alternative"
"ag"	"anneg"	"forme alternative"
"dickannegarn"	"Annegarn, Dick"	"forme préférée"
"ag"	"annegarreta"	"forme alternative"
"annieharleauxfaury"	"Annie Harleaux-Faury"	"forme alternative"
"anouilh"	"Anouilh"	"forme préférée"
"anthonioz"	"Anthonioz"	"forme préférée"
"anthonybonner"	"Anthony Bonner"	"forme alternative"
"anthonypowell"	"Anthony Powell"	"forme alternative"
"antoine"	"Antoine"	"forme préférée"
"antoineopach"	"Antoine Opach"	"forme alternative"
"geraldantoine"	"Antoine, Gérald"	"forme préférée"
"sanantonio"	"Antonio, San"	"forme préférée"
"apollinaire"	"Apollinaire"	"forme préférée"
"sidoineapollinaire"	"Apollinaire, Sidoine"	"forme préférée"
"apollonius"	"Apollonius"	"forme préférée"
"apostel"	"Apostel"	"forme préférée"
"apostel"	"APOSTEL"	"forme alternative"
"arabellabover"	"Arabella Bover"	"forme alternative"
"aragon"	"Aragon"	"forme préférée"
"aramis"	"Aramis"	"forme préférée"
"ariane"	"Ariane"	"forme préférée"
"harinaga"	"Arinaga, H."	"forme préférée"
"harinaga"	"Arinaga, M."	"forme alternative"
"aristote"	"Aristote"	"forme préférée"
"arlette"	"Arlette"	"forme préférée"
"arlettedupont"	"Arlette Dupont"	"forme alternative"
"armandlanoux"	"Armand Lanoux"	"forme alternative"
"na"	"Arnaud"	"forme alternative"
"na"	"arnaud"	"forme alternative"
"anaarnaudblieberge"	"Arnaud Blieberge, Ana"	"forme préférée"
"na"	"Arnaud Noël"	"forme alternative"
"na"	"Arnaud, No.L"	"forme alternative"
"na"	"Arnaud, Noël"	"forme préférée"
"na"	"arnaudnoel"	"forme alternative"
"arnoldkaufmann"	"Arnold Kaufmann"	"forme alternative"
"arp"	"Arp"	"forme alternative"
"arp"	"Arp, Jean"	"forme préférée"
"arsace"	"Arsace"	"forme préférée"
"arthurdlittle"	"Arthur D. Little"	"forme alternative"
"arthurrank"	"Arthur Rank"	"forme alternative"
"arthurrimbaud"	"Arthur Rimbaud"	"forme alternative"
"arvers"	"Arvers"	"forme préférée"
"johnashbery"	"Ashbery, John"	"forme préférée"
"ashleymontagu"	"Ashley Montagu"	"forme alternative"
"hm"	"athews"	"forme alternative"
"attali"	"Attali"	"forme préférée"
"attias"	"Attias"	"forme préférée"
"attias"	"ATTIAS"	"forme alternative"
"auclair"	"Auclair"	"forme préférée"
"audebrand"	"Audebrand"	"forme préférée"
"ma"	"Audin"	"forme alternative"
"ma"	"audin"	"forme alternative"
"ma"	"Audin Michèle"	"forme alternative"
"ma"	"Audin, Michèle"	"forme préférée"
"ma"	"audinmichele"	"forme alternative"
"augustecomte"	"Auguste Comte"	"forme alternative"
"philippeauguste"	"Auguste, Philippe"	"forme préférée"
"augustusdemorgan"	"Augustus de Morgan"	"forme alternative"
"aunis"	"Aunis"	"forme préférée"
"aurier"	"Aurier"	"forme préférée"
"vincentauriol"	"Auriol, Vincent"	"forme préférée"
"dominiqueaury"	"Aury, Dominique"	"forme préférée"
"alanausen"	"Ausen, Alan"	"forme préférée"
"marcavelot"	"Avelot, Marc"	"forme préférée"
"vaxionov"	"Axionov, Vassili"	"forme préférée"
"mayme"	"Aymé, Marcel"	"forme préférée"
"mb"	"B"	"forme alternative"
"ericb"	"B, Eric"	"forme préférée"
"isabelleb"	"B, Isabelle"	"forme préférée"
"jacquelineb"	"B, Jacqueline"	"forme préférée"
"bc"	"B. Cerquiglini"	"forme alternative"
"bcoutez"	"B. Coutez"	"forme alternative"
"bdemers"	"B. Demers"	"forme alternative"
"bgautier"	"B. Gauthier"	"forme alternative"
"bgautier"	"B. Gautier"	"forme alternative"
"jaulin"	"B. Jaulin"	"forme alternative"
"jerome"	"B. Jérôme"	"forme alternative"
