"id"	"forme"	"label"
"aallaisiens"	"A.allaisiens"	"forme alternative"
"aallaisiens"	"Systèmes de récits allaisiens"	"forme préférée"
"abreviation"	"Abréviation"	"forme préférée"
"abreviation"	"Abréviations"	"forme alternative"
"accentuation"	"Accentuation"	"forme préférée"
"accidentcombinatoire"	"Accident combinatoire"	"forme préférée"
"acrobatie"	"Acrobatie"	"forme préférée"
"acrobatie"	"Acrobatie"	"forme alternative"
"acronyme"	"Acronyme"	"forme préférée"
"acrosmotiches"	"Acrosmotiches"	"forme préférée"
"acrostiche"	"Acrostiche"	"forme préférée"
"acrostiche"	"Acrostiche"	"forme alternative"
"acrostiche"	"Acrostiche alphabétique"	"forme alternative"
"acrostiche"	"Acrostiche double"	"forme alternative"
"acrostiche"	"Acrostiche intérieur"	"forme alternative"
"acrostiche"	"Acrostiches"	"forme alternative"
"acrostiche"	"Acrostiches"	"forme alternative"
"acrostiche"	"Acrostiches chimiques"	"forme alternative"
"acrostiche"	"Acrostiches de coupures de mots"	"forme alternative"
"acrostiche"	"Acrostiches involontaires"	"forme alternative"
"acrostiche"	"Double acrostiche"	"forme alternative"
"acrostiche"	"Poème acrostiche"	"forme alternative"
"actualite"	"Actualité"	"forme préférée"
"additions"	"Additions"	"forme préférée"
"additive"	"Additive"	"forme alternative"
"additive"	"Suite additive"	"forme préférée"
"adjuvant"	"Adjuvant"	"forme préférée"
"affectivite"	"Affectivité"	"forme préférée"
"aidememoire"	"Aide-mémoire"	"forme préférée"
"aleatoire"	"Aléatoire"	"forme préférée"
"alexandrin"	"Alexandrin"	"forme préférée"
"alexandrin"	"Alexandrin"	"forme alternative"
"alexandrin"	"Alexandrin de longueur variable"	"forme alternative"
"alexandrin"	"Alexandrin du prisonnier"	"forme alternative"
"alexandrin"	"Alexandrin monostique"	"forme alternative"
"alexandrin"	"Alexandrin polysémique"	"forme alternative"
"alexandrin"	"Alexandrine"	"forme alternative"
"alexandrin"	"Alexandrins"	"forme alternative"
"alexandrin"	"Alexandrins blancs"	"forme alternative"
"alexandrin"	"Alexandrins de longueur variable"	"forme alternative"
"alexandrin"	"Alexandrins dodécanymes"	"forme alternative"
"alexandrin"	"Alexandrins énumératifs"	"forme alternative"
"alexandrin"	"Alexandrins greffés"	"forme alternative"
"alexandrin"	"Alexandrins involontaires"	"forme alternative"
"alexandrin"	"Alexandrins polysémiques"	"forme alternative"
"alexandrin"	"Style alexandrin"	"forme alternative"
"alexandrinsblancs"	"Alexandrins blancs"	"forme alternative"
"alexandrinsenumeratifs"	"Alexandrins énumératifs"	"forme alternative"
"algol"	"Algol"	"forme préférée"
"algol"	"Algol"	"forme alternative"
"algol"	"Algol 2"	"forme alternative"
"algol"	"Algolique"	"forme alternative"
"algol"	"Algolique"	"forme alternative"
"algol"	"Algologlottes"	"forme alternative"
"algorithme"	"Algorithme"	"forme préférée"
"algorithme"	"Algorithme de m"	"forme alternative"
"algorithme"	"Algorithme syntaxique"	"forme alternative"
"algorithme"	"Algorithmes"	"forme alternative"
"algorithmedemathews"	"Algorithme de Mathews"	"forme préférée"
"algorithmedemathews"	"Am"	"forme alternative"
"algorithmedemathews"	"L’algorithme de mathews"	"forme alternative"
"alipo"	"Alipo"	"forme préférée"
"alliterationjargonophasique"	"Allitération jargonophasique"	"forme préférée"
"alliterations"	"Allitérations"	"forme préférée"
"alphabet"	"Alphabet"	"forme alternative"
"alphabet"	"Alphabet pangrammatique"	"forme alternative"
"alphabet"	"Alphabet parlant"	"forme alternative"
"alphabet"	"Alphabet/ alphabétique"	"forme préférée"
"alphabet"	"Alphabétique"	"forme alternative"
"alphabet"	"Pièce alphabétique"	"forme alternative"
"alphabet"	"Poème « alphabétique »"	"forme alternative"
"alphabet"	"Rimes alphabétiques"	"forme alternative"
"alterations"	"Altérations"	"forme préférée"
"alternance"	"Alternance"	"forme préférée"
"alva"	"Alva"	"forme alternative"
"alva"	"Alva (Alexandrin de longueur variable)"	"forme préférée"
"alva"	"D’alexandrin « variable »"	"forme alternative"
"alva"	"Dégoulinade d’Alvas"	"forme alternative"
"alvas"	"Alvas"	"forme alternative"
"ambiguite"	"Ambiguïté"	"forme préférée"
"ambiguite"	"Ambiguités combinées"	"forme alternative"
"amphibologies"	"Amphibologies"	"forme préférée"
"anacycliques"	"Anacycliques"	"forme préférée"
"anacycliques"	"Vers anacycliques"	"forme alternative"
"anaglyphiques"	"Anaglyphiques"	"forme préférée"
"anagramme"	"Anagramme"	"forme préférée"
"anagramme"	"Anagrams"	"forme alternative"
"anagramme"	"Anagramme"	"forme alternative"
"anagramme"	"Anagrammes"	"forme alternative"
"anagramme"	"Anagrammes"	"forme alternative"
"analogie"	"Analogi(qu)e"	"forme préférée"
"analogie"	"Analogie"	"forme alternative"
"analogie"	"Analogique"	"forme alternative"
"analysegraphique"	"Analyse graphique"	"forme préférée"
"analysematricielle"	"Analyse matricielle"	"forme préférée"
"analysematricielle"	"Analyse matricielle du langage"	"forme alternative"
"analysessyntaxiques"	"Analyses syntaxiques"	"forme préférée"
"analytique"	"Analytique"	"forme préférée"
"analytique"	"Analytiques"	"forme alternative"
"analytique"	"Lipo analytique"	"forme alternative"
"anaphore"	"Anaphore"	"forme préférée"
"anneaudemoebius"	"Anneau de Moebius"	"forme préférée"
"anoulipisme"	"Anoulipisme"	"forme préférée"
"antepotentialisme"	"Antepotentialisme"	"forme préférée"
"antepotentiel"	"Ante-potentiel"	"forme préférée"
"anterime"	"Anté-rime"	"forme alternative"
"anterime"	"Antérime"	"forme préférée"
"anterime"	"Antérimes"	"forme alternative"
"anterime"	"Antérimes archaïques"	"forme alternative"
"anterimes"	"Ante-rimes"	"forme alternative"
"anterimes"	"Anterimes"	"forme alternative"
"anterimes"	"Antérimés"	"forme alternative"
"anthologie"	"Anthologie"	"forme préférée"
"antihasard"	"Anti-hasard"	"forme préférée"
"antinomie"	"Antinomie"	"forme préférée"
"antipalindromes"	"Antipalindromes"	"forme préférée"
"antiphoneme"	"Antiphonème"	"forme préférée"
"antiphoneme"	"Antiphonèmes"	"forme alternative"
"antirime"	"Antirime"	"forme préférée"
"antirime"	"Antirimes"	"forme alternative"
"antirimes"	"Anti-rimes"	"forme alternative"
"antirimes"	"Antirimes"	"forme alternative"
"antisemies"	"Antisémies"	"forme préférée"
"antitendre"	"Anti-tendre"	"forme préférée"
"antonymedecontraintes"	"Antonyme de contraintes"	"forme préférée"
"antonymes"	"Antonymes"	"forme alternative"
"antonymie"	"Antonyme"	"forme préférée"
"antonymie"	"Antonymes"	"forme alternative"
"antonymie"	"Antonymie"	"forme alternative"
"antonymie"	"Antonymies"	"forme alternative"
"aphorisme"	"Aphorisme"	"forme préférée"
"aphorisme"	"Aphorismes"	"forme alternative"
"aphorisme"	"Aphorismes artificiels"	"forme alternative"
"aphorismes"	"Aphorismes"	"forme alternative"
"aphorismesartificiels"	"Aphorismes artificiels"	"forme alternative"
"apocryphes"	"Apocryphes"	"forme préférée"
"aporiediacritique"	"Aporie diacritique"	"forme alternative"
"aporiediacritique"	"Apories diacritiques"	"forme préférée"
"application"	"Application"	"forme préférée"
"arbitraire"	"Arbitraire"	"forme préférée"
"arborescentes"	"Arborescentes"	"forme alternative"
"arborescentes"	"Structures arborescentes"	"forme préférée"
"arbre"	"Arbre"	"forme préférée"
"arbre"	"Arbre"	"forme alternative"
"arbreatheatre"	"Arbre à théâtre"	"forme préférée"
"arbreatheatre"	"Arbre à théâtre"	"forme alternative"
"arbreatheatre"	"Arbre théâtre"	"forme alternative"
"arbresdetextes"	"Arbres de textes"	"forme préférée"
"arbrespoetiques"	"Arbres poétiques"	"forme préférée"
"arbresromanesques"	"Arbres romanesques"	"forme préférée"
"archetype"	"Archétype"	"forme préférée"
"architecture"	"Architecture"	"forme préférée"
"archives"	"Archives"	"forme préférée"
"argot"	"Argot"	"forme préférée"
"arithmetique"	"Arithmétique"	"forme préférée"
"arithmetique"	"Arithmétiques"	"forme alternative"
"arithmnemotechniques"	"Arithmnémotechniques"	"forme préférée"
"arithmomanie"	"Arithmomanie"	"forme préférée"
"artartificiel"	"Art artificiel"	"forme préférée"
"artifice"	"Artifice"	"forme préférée"
"artpermutationnel"	"Art permutationnel"	"forme préférée"
"arttheatral"	"Art théâtral"	"forme préférée"
"asla"	"Asla"	"forme préférée"
"asphyxie"	"Asphyxie"	"forme préférée"
"assemblage"	"Assemblage"	"forme préférée"
"associationslibres"	"Associations libres"	"forme préférée"
"assonance"	"Assonance"	"forme préférée"
"assonance"	"Assonances babébines"	"forme alternative"
"asterisque"	"Astérisque"	"forme préférée"
"atala"	"Atala"	"forme alternative"
"atala"	"Atala (Association pour l’étude et le développement de la Traduction Automatique et de la Linguistique Appliquée)"	"forme préférée"
"atelierdecriture"	"Atelier d’écriture"	"forme préférée"
"autobiographie"	"Autobiographie"	"forme préférée"
"autobiographie"	"Autobiographie"	"forme alternative"
"automatique"	"Automatique"	"forme préférée"
"automatique"	"Automatiques"	"forme alternative"
"automatisme"	"Automatisme"	"forme préférée"
"automatisme"	"Automatismes"	"forme alternative"
"autonymie"	"Antonymie sémantique"	"forme alternative"
"autonymie"	"Autonymie"	"forme préférée"
"autoplagiats"	"Auto-plagiats"	"forme préférée"
"avalanchesdemots"	"Avalanches de mots"	"forme préférée"
"avantgarde"	"Avant-garde"	"forme préférée"
"axiomatique"	"Axiomatique"	"forme préférée"
"axiomatique"	"Axiomatique"	"forme alternative"
"axiomatique"	"Axiomatique"	"forme alternative"
"axiomesdehilbert"	"Axiomes de Hilbert"	"forme préférée"
"baba"	"B.a.ba."	"forme préférée"
"ballade"	"Ballade"	"forme préférée"
"barde"	"Barde"	"forme préférée"
"baroque"	"Baroque"	"forme préférée"
"basicenglish"	"Basic english"	"forme préférée"
"beaupresentanagramme"	"Beau présent anagramme"	"forme alternative"
"beaupresentbelleabsente"	"Beau présent"	"forme alternative"
"beaupresentbelleabsente"	"Beau présent."	"forme alternative"
"beaupresentbelleabsente"	"Beau présent/belle absente"	"forme préférée"
"beaupresentbelleabsente"	"Bel absent"	"forme alternative"
"beaupresentbelleabsente"	"Bel absent vocalique"	"forme alternative"
"beaupresentbelleabsente"	"Belle absente"	"forme alternative"
"beaupresentbelleabsente"	"Belle absente"	"forme alternative"
"bibliographieoulipienne"	"Bibliographie oulipienne"	"forme préférée"
"bibliographieselectivenonoulipienne"	"Bibliographie sélective non-oulipienne"	"forme préférée"
"bibliothequesinedites"	"Bibliothèques inédites"	"forme préférée"
"bicarre"	"Bicarré"	"forme préférée"
"bigrammes"	"Bigrammes"	"forme préférée"
"bijection"	"Bijection"	"forme préférée"
"binarite"	"Binarité"	"forme préférée"
"biographie"	"Biographie"	"forme préférée"
"birimes"	"Bi-rimes"	"forme préférée"
"blanchimentdelarime"	"Blanchiment de la rime"	"forme préférée"
"blancsalexandrinsdanslaprose"	"Blancs alexandrins dans la prose"	"forme préférée"
"booleen"	"Booléen"	"forme préférée"
"booleen"	"Booléens"	"forme alternative"
"bords"	"Bord"	"forme alternative"
"bords"	"Bords"	"forme préférée"
"bords"	"Bords de poèmes"	"forme alternative"
"bords"	"Bords de sonnets"	"forme alternative"
"bords"	"Bords des poèmes"	"forme alternative"
"bords"	"Bords des sonnets"	"forme alternative"
"bords"	"Bords du sonnet"	"forme alternative"
"bouledeneige"	"Boule de neige"	"forme préférée"
"bouledeneige"	"Boule de neige"	"forme alternative"
"bouledeneige"	"Boule de neige artisanale"	"forme alternative"
"bouledeneige"	"Boule de neige d’action"	"forme alternative"
"bouledeneige"	"Boule de neige de phrases"	"forme alternative"
"bouledeneige"	"Boule de neige sémantique"	"forme alternative"
"bouledeneige"	"Boule de neige syllabique"	"forme alternative"
"bouledeneige"	"Boule de neige syllabique"	"forme alternative"
"bouledeneige"	"Boule de neige vocalique"	"forme alternative"
"bouledeneige"	"Boule de neige vocalique"	"forme alternative"
"bouledeneige"	"Boule-de-neige"	"forme alternative"
"bouledeneige"	"Boules de neige"	"forme alternative"
"bouledeneige"	"Boules de neige"	"forme alternative"
"boulesfondantes"	"Boules fondantes"	"forme préférée"
"boustrophedon"	"Boustrophédon"	"forme préférée"
"boutsrimes"	"Bouts-rimés"	"forme préférée"
"boutsrimes"	"Bouts-rimés"	"forme alternative"
"brainstorming"	"Brain-storming"	"forme alternative"
"brainstorming"	"Brainstorming"	"forme préférée"
"bruitblanc"	"Bruit blanc"	"forme préférée"
