"id"	"forme"	"label"
"abecedaireitalien"	"Abécédaire italien"	"forme préférée"
"abecedaires"	"Abécédaires"	"forme préférée"
"abeille"	"Abeille"	"forme préférée"
"abudgetofparadoxes"	"A budget of paradoxes"	"forme préférée"
"actes"	"Actes"	"forme alternative"
"actes"	"Actes du colloque Queneau de Limoges"	"forme préférée"
"actionfrancaise"	"Action française"	"forme alternative"
"actionfrancaise"	"L’Action française"	"forme préférée"
"actionpoetique"	"Action poétique"	"forme préférée"
"adieualavie"	"Adieu à la vie"	"forme préférée"
"adieusidonie"	"Adieu Sidonie"	"forme préférée"
"agamemnon"	"Agamemnon"	"forme préférée"
"agedelascience"	"Age de la science"	"forme alternative"
"agedelascience"	"Âge de la science"	"forme préférée"
"alarecherchedutempsperdu"	"A la Recherche du temps perdu"	"forme préférée"
"alarecherchedutempsperdu"	"Recherche"	"forme alternative"
"alchimie"	"Alchimie"	"forme préférée"
"alcools"	"Alcools"	"forme préférée"
"alcools"	"Alcools"	"forme alternative"
"alexandreaugreffoir"	"Alexandre au greffoir"	"forme préférée"
"alexandreaugreffoir"	"Alexandre au greffoir"	"forme alternative"
"aliceaupaysdesmerveilles"	"Alice au pays des merveilles"	"forme préférée"
"aliceetdelatraverseedumiroir"	"A travers le miroir"	"forme préférée"
"aliceetdelatraverseedumiroir"	"Alice et de la traversée du miroir"	"forme alternative"
"almanach"	"Almanach"	"forme préférée"
"almanachducrimedemichellebrun"	"Almanach du crime "	"forme préférée"
"almanachducrimedemichellebrun"	"Almanach du crime de Michel Lebrun"	"forme alternative"
"almanachvermot"	"Almanach vermont"	"forme alternative"
"almanachvermot"	"Almanach Vermot"	"forme préférée"
"almanachvermot"	"L’almanach vermot"	"forme alternative"
"alphabeticalafrica"	"Alphabetical Africa"	"forme préférée"
"alphabets"	"Alphabets"	"forme préférée"
"americanbookreview"	"American Book Review"	"forme préférée"
"amourdedonperlimplin"	"Amour de don Perlimplin"	"forme préférée"
"anagrammesdefdesaussure"	"Anagrammes de F. de Saussure"	"forme préférée"
"analysematricielledulangage"	"Analyse matricielle du langage"	"forme préférée"
"andromaque"	"Andromaque"	"forme préférée"
"angelique"	"Angélique"	"forme préférée"
"annalesdesartsetmanufactures"	"Annales des arts et manufactures"	"forme préférée"
"anniversaire"	"Anniversaire"	"forme préférée"
"anterimes"	"Antérimes"	"forme préférée"
"anthologie"	"Anthologie"	"forme alternative"
"anthologie"	"Anthologie des structures utilisables"	"forme préférée"
"anthologiedesrhetoriqueurs"	"Anthologie des rhétoriqueurs"	"forme préférée"
"apercegorgees"	"A perce-gorgées"	"forme préférée"
"aphorismeamoureux"	"Aphorisme amoureux..."	"forme préférée"
"aphorismes"	"Aphorismes"	"forme préférée"
"apologiedeladanse"	"Apologie de la danse"	"forme préférée"
"apostrophes"	"Apostrophes"	"forme préférée"
"aqueneau"	"À queneau"	"forme alternative"
"aqueneau"	"À queneau"	"forme alternative"
"araymondqueneau"	"A Queneau"	"forme alternative"
"araymondqueneau"	"À Raymond Queneau"	"forme préférée"
"arbreatheatre"	"Arbre"	"forme alternative"
"arbreatheatre"	"Arbre à théâtre"	"forme alternative"
"arbreatheatre"	"L’Arbre à théâtre"	"forme préférée"
"arguments"	"Arguments"	"forme préférée"
"arithmetique"	"Arithmétique"	"forme préférée"
"arsdellasanta"	"Ars della santa"	"forme préférée"
"artassisteparordinateur"	"Art assisté par ordinateur"	"forme préférée"
"artetordinateur"	"Art et ordinateur"	"forme préférée"
"article"	"Article"	"forme alternative"
"article"	"Article dans la NRF"	"forme préférée"
"articledunewyorktimes"	"Article du New York Times"	"forme préférée"
"articlesurloulipo"	"Article sur l’Oulipo"	"forme préférée"
"arts"	"Arts"	"forme préférée"
"associationdesecrivainsscientifiquesdefrance"	"Association des écrivains scientifiques de France"	"forme préférée"
"asynartete"	"Asynartète"	"forme préférée"
"atlas"	"Atlas"	"forme préférée"
"aubonheurdesmots"	"Au bonheur des mots"	"forme préférée"
"autoroute"	" autoroute "	"forme alternative"
"autoroute"	"Autoroute"	"forme préférée"
"avoixhauteavoixbasse"	"A voix haute, à voix basse"	"forme préférée"
"awalterratsasset"	"A walter rat’s asset"	"forme préférée"
"axiomatisationdelalitterature"	"Axiomatisation de la littérature"	"forme préférée"
"balladedejehanmolinet"	"Ballade"	"forme alternative"
"balladedejehanmolinet"	"Ballade de jehan molinet"	"forme alternative"
"banlieue"	"Banlieue"	"forme préférée"
"bardesetcordes"	"Bardes et cordes"	"forme préférée"
"bardesetcordes"	"Bardes et cordes"	"forme alternative"
"bateauivre"	"Bateau ivre"	"forme préférée"
"batonschiffresetlettres"	"Bâtons, chiffres et lettres"	"forme préférée"
"batonschiffresetlettres"	"Bâtons, chiffres et lettres"	"forme alternative"
"beaupresent"	"Beau-présent"	"forme préférée"
"beautifulheroin"	"Beautiful heroïn"	"forme préférée"
"belabsent"	"Bel absent"	"forme préférée"
"bellehortense"	"Belle hortense"	"forme alternative"
"bellehortense"	"La Belle Hortense"	"forme préférée"
"bellemarquise"	"Belle marquise"	"forme préférée"
"bellemartine"	"Belle Martine"	"forme préférée"
"beowulf"	"Beowulf"	"forme préférée"
"berenice"	"Bérénice"	"forme préférée"
"beteecarlate"	"Bête ecarlate"	"forme alternative"
"beteecarlate"	"Bête écarlate"	"forme préférée"
"bible"	"Bible"	"forme préférée"
"bibleoulipienne"	"Bible oulipienne"	"forme préférée"
"bibliotheque"	"Bibliothèque"	"forme préférée"
"bibliothequedephilosophiescientifique"	"Bibliothèque de philosophie scientifique"	"forme préférée"
"bibliothequeoulipienne"	"3e bibliothèque oulipienne"	"forme alternative"
"bibliothequeoulipienne"	"Bibliothèque oulipienne"	"forme préférée"
"bibliothequeoulipienne"	"Bibliothèque oulipienne théorique"	"forme alternative"
"bibliothequeoulipienne"	"Bibliothèque oulipo"	"forme alternative"
"bibliothequeoulipienne"	"Bibliothèques oulipiennes"	"forme alternative"
"bibliothequeoulipienne"	"Bo"	"forme alternative"
"bibliothequeoulipienne"	"Bo"	"forme alternative"
"bibliothequeoulipienne"	"La Bibliothèque oulipienne"	"forme alternative"
"bibliothequeoulipienne"	"Le volume bibliothèque oulipienne calvino"	"forme alternative"
"bibliothequeoulipienne"	"Numéro 2 de la bibliothèque oulipienne"	"forme alternative"
"bibliothequeoulipienneenitalien"	"Bibliothèque oulipienne en italien"	"forme préférée"
"bibliothequeoulipiennespecialqueneau"	"Bibliothèque oulipienne « spécial queneau »"	"forme alternative"
"bizarre"	"Bizarre"	"forme préférée"
"blablabla"	"Blablabla"	"forme préférée"
"bleus"	"Bleus"	"forme préférée"
"bobcaroltedalice"	"Bob & Carol & Ted & Alice"	"forme préférée"
"bobcaroltedalice"	"Bob carol ted alice"	"forme alternative"
"bobo"	"Bobo"	"forme préférée"
"boiteaidees"	"Boîte à idées"	"forme préférée"
"bonjourmadameeve"	"Bonjour madame Eve"	"forme préférée"
"bookofrime"	"Book of rime"	"forme préférée"
"bords"	"Bords"	"forme préférée"
"bottin"	"Bottin"	"forme préférée"
"bottinimaginaire"	"Bottin imaginaire"	"forme préférée"
"bouillonkub"	"Bouillon Kub"	"forme préférée"
"bouvardetpecuchet"	"Bouvard et Pécuchet"	"forme préférée"
"breviaireromain"	"Bréviaire romain"	"forme préférée"
"brisdemots"	"Bris de mots"	"forme préférée"
"bucolique"	"Bucolique"	"forme préférée"
"bulletindeleducationnationale"	"Bulletin de l’Éducation nationale"	"forme préférée"
"bulletinducentre"	"Bulletin du centre"	"forme alternative"
"bulletinducentre"	"Bulletin du Centre de Besançon"	"forme préférée"
"Cahier des Amis de Valentin Bru"	"N° spécial"	"forme alternative"
"Cahier des Amis de Valentin Bru"	"N° spécial queneau oulipo"	"forme alternative"
"cahier9"	"Cahier 9"	"forme alternative"
"cahier9"	"Cahiers de Paul Valéry"	"forme préférée"
"cahier9"	"Cahiers. Tome xiii"	"forme alternative"
"cahierdelexicologie"	"Cahier de lexicologie"	"forme préférée"
