chezpaulfournel	nouveau	placeName	"chez Paul Fournel"											"chez Paul Fournel"								"t10010235-1981-01-CR.xml
t10010237-1981-03-CR.xml"		
slatkinefrance	nouveau	orgName	"Slatkine France"											"Slatkine France"								t10010235-1981-01-CR.xml		
hchampion	nouveau	persName	"H. Champion"											"H. Champion"								t10010235-1981-01-CR.xml		
sebastienbottin	nouveau	persName	"Sébastien Bottin"											"Sébastien Bottin"								"t10010235-1981-01-CR.xml
t10010235-1981-01-OJ.xml"		
maarri	nouveau	persName	"Maarri "											"Maarri "								t10010235-1981-01-CR.xml		
obligationdunonobligatoire	nouveau	title	"obligation du non obligatoire"											"obligation du non obligatoire"								t10010235-1981-01-CR.xml		
valentinbru	nouveau	persName	"Valentin Brû"											"Valentin Brû"								t10010235-1981-01-CR.xml		
suisseromande	nouveau	orgName	"Suisse Romande"											"Suisse Romande"								t10010235-1981-01-CR.xml		
toulousefr3	nouveau	orgName	"Toulouse FR3"											"Toulouse FR3"								t10010235-1981-01-CR.xml		
jqqueneau	nouveau	persName	"JQ Queneau"											"JQ Queneau"								t10010235-1981-01-CR.xml		
polti	nouveau	persName	Polti											Polti								t10010235-1981-01-CR.xml		
les36situationsdramatiques	nouveau	title	"Les 36 situations dramatiques"											"Les 36 situations dramatiques"								t10010235-1981-01-CR.xml		
peguy	nouveau	persName	Péguy											Péguy								"t10010235-1981-01-CR.xml
t10010235-1981-01-CR.xml"		
pleiade	nouveau	orgName	Pléiade											Pléiade								t10010235-1981-01-CR.xml		
rameilnantes	nouveau	name	"Rameil Nantes"											"Rameil Nantes"								"t10010235-1981-01-CR.xml
t10010235-1981-01-OJ.xml"		
stagedepaques	nouveau	name	"Stage de Pâques"											"Stage de Pâques"								"t10010235-1981-01-CR.xml
t10010235-1981-01-OJ.xml"		
haikus	nouveau	term	haïkus											haïkus								t10010235-1981-01-CR.xml		
ouliporismes	nouveau	term	ouliporismes											ouliporismes								"t10010235-1981-01-CR.xml
t10010235-1981-01-OJ.xml"		
contreintersection	nouveau	term	"contre intersection "											"contre intersection "								t10010235-1981-01-CR.xml		
oulipo2	nouveau	title	"Oulipo 2"											"Oulipo 2"								"t10010235-1981-01-CR.xml
t10010235-1981-01-CR.xml
t10010235-1981-01-CR.xml
t10010238-1981-04-CR.xml"		
poemesinfinis	nouveau	term	"Poèmes infinis"											"Poèmes infinis"								"t10010235-1981-01-CR.xml
t10010235-1981-01-OJ.xml
t10010247-1982-02-CR.xml"		
bernardmagne	nouveau	persName	"Bernard Magné"											"Bernard Magné"								t10010235-1981-01-CR.xml		
villeneuve	nouveau	name	Villeneuve											Villeneuve								"t10010235-1981-01-CR.xml
t10010238-1981-04-OJ.xml
t10010239-1981-05-OJ.xml
t10010245-1981-12-OJ.xml
t10010246-1982-01-CR.xml"		
bouvardetpecuchet	nouveau	title	"Bouvard et Pécuchet"											"Bouvard et Pécuchet"								t10010235-1981-01-CR.xml		
chartreusedeparme	nouveau	title	"Chartreuse de Parme"											"Chartreuse de Parme"								t10010235-1981-01-CR.xml		
